Município;Região Administrativa
 Aguaí;Campinas
 Águas da Prata;Campinas
 Caconde;Campinas
 Casa Branca;Campinas
 Divinolândia;Campinas
 Espírito Santo do Pinhal;Campinas
 Itobi;Campinas
 Mococa;Campinas
 Santa Cruz das Palmeiras;Campinas
 Santo Antônio do Jardim;Campinas
 São João da Boa Vista;Campinas
 São José do Rio Pardo;Campinas
 São Sebastião da Grama;Campinas
 Tambaú;Campinas
 Tapiratiba;Campinas
 Vargem Grande do Sul;Campinas
 Altinópolis;Ribeirão Preto
 Barrinha;Ribeirão Preto
 Brodowski;Ribeirão Preto
 Cajuru;Ribeirão Preto
 Cássia dos Coqueiros;Ribeirão Preto
 Cravinhos;Ribeirão Preto
 Dumont;Ribeirão Preto
 Guariba;Ribeirão Preto
 Guatapará;Ribeirão Preto
 Jaboticabal;Ribeirão Preto
 Jardinópolis;Ribeirão Preto
 Luiz Antônio;Ribeirão Preto
 Monte Alto;Ribeirão Preto
 Pitangueiras;Ribeirão Preto
 Pontal;Ribeirão Preto
 Pradópolis;Ribeirão Preto
 Ribeirão Preto;Ribeirão Preto
 Santa Cruz da Esperança;Ribeirão Preto
 Santa Rosa de Viterbo;Ribeirão Preto
 Santo Antônio da Alegria;Ribeirão Preto
 São Simão;Ribeirão Preto
 Serra Azul;Ribeirão Preto
 Serrana;Ribeirão Preto
 Sertãozinho;Ribeirão Preto
 Taquaral;Ribeirão Preto
 Agudos;Bauru
 Arealva;Bauru
 Avaí;Bauru
 Balbinos;Bauru
 Bauru;Bauru
 Borebi;Bauru
 Cabrália Paulista;Bauru
 Duartina;Bauru
 Iacanga;Bauru
 Lençóis Paulista;Bauru
 Lucianópolis;Bauru
 Macatuba;Bauru
 Paulistânia;Bauru
 Pederneiras;Bauru
 Pirajuí;Bauru
 Piratininga;Bauru
 Presidente Alves;Bauru
 Reginópolis;Bauru
 Ubirajara;Bauru
 Bariri;Bauru
 Barra Bonita;Bauru
 Bocaina;Bauru
 Boraceia;Bauru
 Dois Córregos;Bauru
 Igaraçu do Tietê;Bauru
 Itaju;Bauru
 Itapuí;Bauru
 Jaú;Bauru
 Mineiros do Tietê;Bauru
 Cafelândia;Bauru
 Getulina;Bauru
 Guaiçara;Bauru
 Guaimbê;Bauru
 Guarantã;Bauru
 Lins;Bauru
 Pongaí;Bauru
 Promissão;Bauru
 Sabino;Bauru
 Uru;Bauru
 Ariranha;São José do Rio Preto
 Catanduva;São José do Rio Preto
 Catiguá;São José do Rio Preto
 Elisiário;São José do Rio Preto
 Irapuã;São José do Rio Preto
 Itajobi;São José do Rio Preto
 Marapoama;São José do Rio Preto
 Novais;São José do Rio Preto
 Novo Horizonte;São José do Rio Preto
 Palmares Paulista;São José do Rio Preto
 Paraíso;São José do Rio Preto
 Pindorama;São José do Rio Preto
 Sales;São José do Rio Preto
 Santa Adélia;São José do Rio Preto
 Tabapuã;São José do Rio Preto
 Urupês;São José do Rio Preto
 Estrela d'Oeste;São José do Rio Preto
 Fernandópolis;São José do Rio Preto
 Guarani d'Oeste;São José do Rio Preto
 Indiaporã;São José do Rio Preto
 Macedônia;São José do Rio Preto
 Meridiano;São José do Rio Preto
 Mira Estrela;São José do Rio Preto
 Ouroeste;São José do Rio Preto
 Pedranópolis;São José do Rio Preto
 Populina;São José do Rio Preto
 São João das Duas Pontes;São José do Rio Preto
 Turmalina;São José do Rio Preto
 Aparecida d'Oeste;São José do Rio Preto
 Aspásia;São José do Rio Preto
 Dirce Reis;São José do Rio Preto
 Dolcinópolis;São José do Rio Preto
 Jales;São José do Rio Preto
 Marinópolis;São José do Rio Preto
 Mesópolis;São José do Rio Preto
 Nova Canaã Paulista;São José do Rio Preto
 Palmeira d'Oeste;São José do Rio Preto
 Paranapuã;São José do Rio Preto
 Pontalinda;São José do Rio Preto
